paperId,title,year,pdf_url,motivation_free_txt,motivations,datasets,emotions
069ae43eab55150e2b54785cfdbe12b04b80ce9f,State of Mind: Classification through Self-reported Affect and Word Use in Speech,2018,https://opus.bibliothek.uni-augsburg.de/opus4/files/44179/2043.pdf,"""Human state–of-mind (SOM; e.g.: perception, cognition, attention) constantly shifts due to internal and external demands. Mental health is influenced by the habitual use of either adaptive or maladaptive SOM...Continuous and adaptive regulation of SOM is pivotal for mental functioning and behaviour regulation [1]. One key aspect of the human experience are our emotions...Psychotherapy is a method to change ones SOM through the use of language and a corrective therapeutical relationship...This principle could be used in e- and m-health intervention or in the classical psychotherapeutic setting to enhance individuals’ emotion regulation abilities""",['Healthcare (Mental health)'],['Custom collected for this work'],"['Arousal/Activation', 'Valence or sentiment']"
60e14f8b4d6a35aa8ca08987921c3dced2ebdc83,Detecting Unipolar and Bipolar Depressive Disorders from Elicited Speech Responses Using Latent Affective Structure Model,2020,https://ieeexplore.ieee.org/document/8288569/,"MOOD disorder is a kind of mental illness which severely affects how you feel and think...As a mood is an emotional state, emotion expression or perception are relevant to mood disorder, and has been used for mood disorder detection [24]",['Healthcare (Mental health)'],['Custom collected for this work'],"['Happy', 'Fearful', 'Angry', 'Surprised', 'Sad', 'Disgusted']"
5573638a1ac9de73a37fb07b0fb30296aafa2083,Towards Disorder-Independent Automatic Assessment of Emotional Competence in Neurological Patients with a Classical Emotion Recognition System: Application in Foreign Accent Syndrome,2021,http://bth.diva-portal.org/smash/get/diva2:1460935/FULLTEXT01,"""Lesions in the brain getting in the way of thevspeech program can cause failures in the production of emotive speech at prosodic or segmental levels....In many disorders, emotive speech is sensitive to
disease progression and recovery. In other words, it is a good candidate biomarker to be included into the panel of others that are taken into account.""",['Healthcare (Mental health)'],"['Custom collected for this work', 'Interface Database']","['Angry', 'Sad', 'Happy', 'Neutral']"
04e9d0189dfee6e876a12e618f123aa66d6f8615,Detecting anger in automated voice portal dialogs,2006,https://www.isca-archive.org/interspeech_2006/burkhardt06_interspeech.html,"Anger detection is a topic that is gaining more and more attention with voice portal carriers, as it can be useful for quality measurement and empathic dialog strategies [1, 2]. In the context of customer care voice portals it can be helpful to detect potential problems that arise from a unsatisfactory course of interaction in order to help the customer by either offering the assistance of human operators or trying to react with appropriate dialog strategies.",['Call center / call screening'],['Custom collected for this work'],['Angry']
f073bad3c36706de5e42083a4241b2d7c12ca691,Two-stream emotion recognition for call center monitoring,2007,https://www.isca-archive.org/interspeech_2007/gupta07_interspeech.html,"""Over the last decade, enterprises have started to use human operated call-centers to provide improved services to their customers...So the supervisors monitor a subset of calls and identify if any of them had extreme emotional characteristics (such as happy or angry moods)""",['Call center / call screening'],"['EPST', 'Custom collected for this work']","['Angry', 'Happy', 'Neutral']"
3f99b618194b27dc144e18c390037be315faffe9,Frequency distribution based weighted sub-band approach for classification of emotional/stressful content in speech,2003,https://www.isca-archive.org/eurospeech_2003/rahurkar03_eurospeech.html,"The
results suggest a important step forward in establishing an
effective processing scheme for developing generic
models of neutral and emotional speech. ...would take us a step closer to a generic processing sequence for obtaining models of new emotions in a fixed speaker environment of new input speakers for voice telephony or interactive systems. Another motivation for addressing emotional/stressful speech classification is to better understand physical speech modeling and associated speech feature estimation procedures....This property is especially useful here
because we believe that when a person is under stress,
physiological changes occur in their vocal fold movement,
which modulates airflow in the vocal tract. These changes
in the airflow properties are perceived by listener as
emotional content.
Such an emotion classification system could not only
be used to increase robustness in speech recognition it
could also contribute to improved systems for to handhelds, interactive books, and intelligent dialogue
systems. These are some of the many areas where such a
system can play a vital role. ","['Paralinguistics / behavioral studies', 'Responsive bots: voice assistants', 'Video Games, Toys, Entertainment', 'Responsive bots: other HCI systems']",['SOQ'],"['Neutral', 'Stressed']"
50b26f3e8e8f1cca4a0ccb19559fca302ef94f57,Multistyle classification of speech under stress using feature subset selection based on genetic algorithms,2007,https://pdf.sciencedirectassets.com/271578/1-s2.0-S0167639307X0164X/1-s2.0-S0167639307000830/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEML%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIBlrxXaD%2Br6%2FGTwJfV%2FP7G6J9Cc43V6YBU39odt6LNrIAiEArq4D6qnohVlcS5tkt0p%2BzeUi9TI44dRkfRBnZO4P1IcqvAUI2v%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDPID9Hj51RNpJ%2Fe7myqQBevypPvpA2uA0zDrTbXO%2By3Ez1arP%2BKbAqnFnwgoY8Xnf2YGLN1U2%2FLx6R3FoLvAlKtu0f1OOh2JbX%2FdXhNwI4sqLhMInFT39DhopGMbYb5em3KUdM5VjfblM9nH6l6G21hYbFKnClmJyHLEtZfXPag6DkE9zLTO0OXrz8idhXkwo5UzzQ%2BW0mJTcLg3QrT%2FTU7u5R9D3qnfeDVG7M%2FEBgN5%2BIRrcJ10u0Y7r0hT8VJwCVUFfcGBR8%2BPrpHnSTtWAneFXtnsVzr8cn1FuTY58iVmle64V45IzNctqqfiq3uEjWphpzf1Bpsh4sk0AzW9PGrcgVrHrbvIu%2FYPrQt3gHBi3%2BEG0%2BU5SjpqrncQRvM0H1a40E8ZJKMo3OHUw%2FwcQgy1oNGR4XWGjSwatCUAIuImpgAXwN4Vylm4C1mri2C4o5eYhjyNo%2FG%2BuUELl6iPxHg%2FjT8dqU7c1Z8DwuIdvMv367BGWgXWeUSuSNjHWRpoWdS02H9na%2BaVw1C5GxAS4w2d67QrjArPUBQHmQVYJQFspUws%2BB%2FE7QDBhvUlVQP5Zh5Ze62aITeDvKAW5lAn5l32tDboYGK35bxOR%2BXNk9%2B59%2FES2P2rEA8szPc34lVxbVFqVEi7cFXmGC5el4qoIXGKnnYUqUJEwAuLTEuoCIfbj%2F6Av2%2FX1c%2FAEt51Boas4Zx991iwG7wdS6bBcnZx%2B9Krq3fzL1fsh7V06MNA%2FYVc%2FQ8BgPpYNxuHqKgC8qcG7D%2BqjoM%2BcYkfXmp%2B5ycGeKpN0AaRGqDothZYzSodRrEDtfWZE6Npm9hWWvJjHqUG%2FitRovVfemmgDbxZ7ex98liI5HOJG0Bl5mmZiI79EBuktWGNJSS0RVEjl8pjFDYSMIOp4rYGOrEBa5ikuakidPMHVTvYSRQxAXPA41O5ENQ6pzJB5L6JqCSsZdRMxY%2BKKX0ctTxF4tIiB6nydcBfLvlu0Q0YnhHWi0h97LWEO7Eh9phl5JD0zu6gijulaJ3ziItvON3vZ8mCw%2FoWNqUpQMlu7ZafrAFHqjTuZJ8vJUjjNCzfgDi%2BEZ80j6ND9PrQDKIArbwNNgvPf60cS3FmH8qQagNYasaLN7nnpklIJ9WmJBIMnqeJkvGm&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240904T180435Z&X-Amz-SignedHeaders=host&X-Amz-Expires=299&X-Amz-Credential=ASIAQ3PHCVTY5MKMAYWO%2F20240904%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=b13ac483cff835de57fc3f4fb9a08fc0b0b1bc2859341be7efa63192dd599fc8&hash=a2a445c3fac846e66b286c683993532741e644540c430f7b9c43799c897a6e5a&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0167639307000830&tid=spdf-fd0d71c5-895d-4c2f-8bb6-d83877967b40&sid=372daaf19cd1054ddc395a71803abde0afc0gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=10145d07030600555d53&rr=8bdfe7213e5238aa&cc=us,"One important research challenge in the last few years has thus been automatic recognition of the emotional state of a speaker through speech; knowledge of this state can have a series of applications, such as (Cowie et al., 2001): • automatic answering machines that can adapt their voice tone to that of the speaker; • speech recognition systems that can correctly interpret the meaning of words spoken in an ironic or sarcastic manner;• systems which are able to detect the emotional state of
an interlocutor (for clinical diagnosis purposes, for
example);
• synthesizers that can generate speech giving the sensation of a particular emotion;
• automatic tutoring systems that can establish a learner’s
degree of boredom, irritation or intimidation;
• systems that can prevent speakers in a particularly
altered emotional state from interacting with automatic
recognition systems;
• systems to generate alarms on the basis of the different
emotional states of people being monitored;
• entertainment systems and games that can determine a
user’s emotional state.

The determination of an emotional state is therefore an
important task from several points of view. What is studied
more frequently than the recognition of the speaker’s emotional state in general is classification of speech under stress
(e.g., Hansen and Womack, 1996; Bou-Ghazale and
Hansen, 2000; Zhou et al., 2001; Nwe et al., 2003). Several
elements introduce stressed voice tones in the production
of speech, for example background noise, emergencies,
high workloads, strong emotional excitement, etc. It is
well-known that the performance of speech recognition
algorithms is greatly influenced by the stressful conditions
in which speech is produced. Workload task stress significantly impacts recognition performance. Effects of different
stressful conditions on speech recognition and efforts to
improve the performance of speech recognition algorithms
under stressful conditions can be found in literature. Stress
classification cannot only be used to improve the robustness of speech recognition systems, other scenarios can
also benefit, such as telecommunications, military applications, medical applications, and law enforcement. In telecommunications, in addition to its potential to improve
the telephone-based speech recognition performance, stress
classification can be used to route 911 emergency call services for high priority emergency calls. The integration of
speech recognition technology has already been seen in
many military voice communication and control applications. Since many such applications involve stressful environments (e.g., aircraft cockpits, military peacekeeping/
battlefield setting), stress classification and assessment
become crucial to improve the system robustness in these
applications. Finally, stress classification can also be
employed in forensic speech analysis by law enforcement
to assess the state of telephone callers or as an aid in
suspect interviews.","['Responsive bots: other HCI systems', 'Healthcare (Mental health)', 'Other', 'Video Games, Toys, Entertainment', 'Education, Tutoring']",['SUSAS'],"['Angry', 'Stressed', 'Neutral']"
53c306825752cb0562f19736980a8412bae7cc34,Stress and Emotion Classification using Jitter and Shimmer Features,2007,https://epublications.marquette.edu/cgi/viewcontent.cgi?article=1008&context=data_drdolittle,"""This task has application to a number of important areas, including security systems, lie detection, video games and psychiatric aid, among others.
Similarly, the analysis of arousal levels from animal vocalizations can significantly improve the ability of researchers in bioacoustics to understand animal behavior.""
""... both jitter and shimmer can be indicators
of underlying stress in human speech and animal vocalizations. The investigation of both human speech and animal vocalizations under the same framework will give the features wider applicability and better support their effectiveness""","['Healthcare (Mental health)', 'Other', 'Lie detection', 'Video Games, Toys, Entertainment']","['SUSAS', 'African Elephant Emotional Arousal Dataset', 'Custom collected for this work']","['Other or Unspecified', 'Angry', 'Arousal/Activation', 'Neutral']"
293fd134ba4bee4dddb7e60c223da0737cff2263,Why and how to control the authentic emotional speech corpora,2003,https://www.isca-archive.org/eurospeech_2003/auberge03_eurospeech.html,"""In such a view, the verbal communication needs a coherent affective processing in order to be adapted to the situation. It would mean in particular that not to choose to control the affective speech information in synthesis and recognition implies not only naturalness or agreement lacks, but above that, it perturbs the goals of the interaction. The interest for affective technologies is increasing [3], as well for the conversational chatterbots (Embodied Conversational Interface Agents of Cassel, Believable Social and Emotional Agents of Bryan Loyall, Affective Agents of Picard…)""","['Responsive bots: other HCI systems', 'Responsive bots: voice assistants']",['Custom collected for this work'],['Other or Unspecified']
9c9e452376340e26faadfd4af300aab2cc53621a,Integrating information from speech and physiological signals to achieve emotional sensitivity,2005,https://opus.bibliothek.uni-augsburg.de/opus4/files/47270/Integrating Information from Speech and Physiological Signals to Achieve.pdf,"In the past few years, increasing attempts have been made to exploit emotional cues in man-machine communication. The driving force behind this work is the insight that a user interface is more likely to be accepted by the user if it is sensitive towards the user’s affective states. A necessary prerequisite to realize such a behavior is the availability of robust methods for the recognition of emotions from various channels of expression as well as the context of interaction. Most research so far has focused on the analysis of a single modality or an integrated analysis of audio-visual data (see [1] for a comprehensive overview). In this paper, we will concentrate on speech in combination with physiological measures, a topic which has been largely neglected so far.",['Responsive bots: other HCI systems'],['Custom collected for this work'],"['Arousal/Activation', 'Valence or sentiment']"
