quote_id,section,labels,quotation,title,url
2,Introduction,['Exactness'],"While exact computation of this probability is in- tractable, several estimators for this prob- ability have been used in the topic model- ing literature, including the harmonic mean method and empirical likelihood method.",Evaluation Methods for Topic Models,http://dirichlet.net/pdf/wallach09evaluation.pdf
3,Introduction,"['Accuracy', 'Efficiency']","In this paper, we demonstrate experimentally that commonly-used methods are unlikely to accurately estimate the probability of held- out documents, and propose two alternative methods that are both accurate and eﬃcient.",Evaluation Methods for Topic Models,http://dirichlet.net/pdf/wallach09evaluation.pdf
4,Introduction,"['Large scale', 'Useful']",Statistical topic modeling is an increasingly useful tool for analyzing large unstructured text collections.,Evaluation Methods for Topic Models,http://dirichlet.net/pdf/wallach09evaluation.pdf
7,Introduction,['Important'],Evaluation is an important issue: the unsupervised nature of topic models makes model se- lection diﬃcult.,Evaluation Methods for Topic Models,http://dirichlet.net/pdf/wallach09evaluation.pdf
8,Introduction,"['Performance', 'Applies to real world']","For some applications there may be extrinsic tasks, such as information retrieval or docu- ment classiﬁcation, for which performance can be eval- uated.",Evaluation Methods for Topic Models,http://dirichlet.net/pdf/wallach09evaluation.pdf
9,Introduction,"['Generalization', 'Accuracy', 'Efficiency']","However, there is a need for a universal method that measures the generalization capability of a topic model in a way that is accurate, computationally eﬃ- cient, and independent of any speciﬁc application.",Evaluation Methods for Topic Models,http://dirichlet.net/pdf/wallach09evaluation.pdf
18,Discussion,"['Performance', 'Understanding (for researchers)']","Estimating the probability of held-out documents provides a clear, interpretable metric for evaluating the performance of topic models relative to other topicbased models as well as to other non-topic-based generative models.",Evaluation Methods for Topic Models,http://dirichlet.net/pdf/wallach09evaluation.pdf
19,Discussion,"['Quantitative evidence (e.g. experiments)', 'Accuracy']",We provide empirical evidence that several recently-used methods for estimating the probability of held-out documents are inaccurate and can change the results of model comparison.,Evaluation Methods for Topic Models,http://dirichlet.net/pdf/wallach09evaluation.pdf
20,Discussion,['Accuracy'],"In contrast, the Chib-style estimator and “left-to-right” algorithm presented in this paper provide a clear methodology for accurately assessing and selecting topic models.",Evaluation Methods for Topic Models,http://dirichlet.net/pdf/wallach09evaluation.pdf
22,Abstract,['Used in practice/Popular'],"By allowing arbitrary structures on the feature set, this concept generalizes the group sparsity idea that has become popular in recent years.",Learning with Structured Sparsity,https://www.jmlr.org/papers/volume12/huang11b/huang11b.pdf
24,Abstract,['Performance'],"It is shown that if the coding complexity of the target signal is small, then one can achieve improved performance by using coding complexity regularization methods, which generalize the standard sparse regu- larization.",Learning with Structured Sparsity,https://www.jmlr.org/papers/volume12/huang11b/huang11b.pdf
25,Abstract,['Efficiency'],"Moreover, a structured greedy algorithm is proposed to efﬁciently solve the structured sparsity problem.",Learning with Structured Sparsity,https://www.jmlr.org/papers/volume12/huang11b/huang11b.pdf
