doc_id,frames
1,Advocacy for Smokers' Rights
2,Security Frame
3,Anti-noncitizen voting frame
4,Regulatory Compliance Frame
5,Immigration and Family Separation Frame
6,Economic Optimism Frame
7,Justice frame
8,Legislative Action Frame
9,Labor Rights Frame
10,Political maneuvering and influence of religious groups
11,Conflict and Compliance
12,**New Frame Assigned: Definition and Scope of Small Business Ownership**
13,**New Frame: Celebration of Immigration and Citizenship**
14,**New Frame Assigned: Climate Impact and Weather Extremes**
15,**New Frame Assigned: Driving License Policies and Access Issues**
16,Regulatory Compliance and Public Policy
17,24. **New Frame Assigned: Symbolic and Personal Relationship Celebration Frame**
18,5. Legislative Debate Frame
19,2. Smoking Ban Advocacy Frame
20,But there are signs next year could be too soon for another fight on this volatile and exhausting issue.
21,Advocacy for Smoking Policies
22,Political and Legislative Advocacy
23,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
24,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
25,Evaluation of Social Issues
26,**New Frame Assigned: Cultural and Historical Significance of Tobacco Production**
27,8. Concern for Economic Impact Frame
28,Regulatory Compliance and Public Health Advocacy
29,Civil Rights Advocacy
30,Legislative and Political Actions
31,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
32,**New Frame Assigned: Food Assistance Program Integrity Issues**
33,**New Frame Assigned: Experience of Uncertainty and Lack of Awareness**
34,Economic Impact and Optimism
35,**New Frame Assigned: Culture Wars and Family Policy Conflicts**
36,**New Frame Assigned: Tragedy and Personal Loss in Leadership**
37,**New Frame Assigned: Uncertainty in Understanding Job Seekers**
38,**New Frame Assigned: Passenger Rights and Airline Accountability**
39,**New Frame Assigned: Economic Impact of Manufacturing Locations**
40,Smoking Policy Advocacy and Regulation
41,Social Issues Evaluation
42,**New Frame Assigned: Contextual Understanding of McLean**
43,**New Frame Assigned: Experience of Asian-American Job Seekers**
44,**New Frame Assigned: Immigration Context and Criminal Activity**
45,**New Frame Assigned: Personal Health and Lifestyle Choices**
46,**New Frame Assigned: Emotional Impact and Human Experience**
47,Civil Rights and Social Justice
48,Legislative Actions and Political Advocacy
49,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
50,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
51,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
52,**New Frame Assigned: Immigration Context and Economic Contributions**
53,**New Frame Assigned: Nontraditional Dynamics in Electoral Races**
54,**New Frame Assigned: Celebration of Immigration and Citizenship**
55,Smoking Policy Advocacy
56,Regulatory Compliance and Public Health
57,**New Frame Assigned: Need for Accountability and Enforcement**
58,New Frame Assigned: Federalism and Constitutional Principles
59,12. Civil Rights and Justice
60,Immigration Context and Criminal Activity
61,36. Smoking Policy Advocacy and Regulation
62,New Frame Assigned: Succession in Religious Leadership
63,New Frame Assigned: Worker Retirement Security and Pension Issues
64,Celebration of Immigration and Citizenship
65,**New Frame Assigned: Emotional Reaction to Policy Decisions**
